"Nazwa kampanii",Dzień,"Kliknięcia linku",Zasięg,Wyświetlenia,"Typ wyniku",Wyniki,Koszt/wynik,"Wydana kwota (PLN)","Początek okresu raportowania","Koniec okresu raportowania"
"[FB] Części",2025-05-14,4,558,609,,,,4.99,2025-05-14,2025-05-14
"[FB] Ciągniki 7R - ruch www",2025-05-14,1,342,432,,,,4.8,2025-05-14,2025-05-14
"[FB] Ciągniki 8RX - formularz",2025-05-14,1,69,117,,,,11.18,2025-05-14,2025-05-14
"[FB] Skontakuj się z nami - messenger",2025-05-14,2,191,214,,,,1.17,2025-05-14,2025-05-14
"[FB] Ciągniki - Używane jak nowe - YU",2025-05-14,1,660,737,,,,13.64,2025-05-14,2025-05-14
"[FB] Serwis - kontakty",2025-05-14,,176,195,,,,3.52,2025-05-14,2025-05-14
"[FB] Ciągniki Ogólne - ruch www",2025-05-14,2,325,357,"Wyświetlenia strony docelowej",2,1.345,2.69,2025-05-14,2025-05-14
"[FB] ASM - OSWN",2025-05-14,4,294,329,"Wyświetlenia strony docelowej",2,1.375,2.75,2025-05-14,2025-05-14
"[FB] ASM Pagelike",2025-05-14,1,484,562,,,,3.62,2025-05-14,2025-05-14
"[FB] Kverneland",2025-05-14,1,348,383,,,,9.3,2025-05-14,2025-05-14
"[FB] Serwis - ruch www",2025-05-14,2,212,235,"Wyświetlenia strony docelowej",2,0.72,1.44,2025-05-14,2025-05-14
"[FB] Ciągniki Seria 6M - formularz",2025-05-14,1,448,568,,,,14.19,2025-05-14,2025-05-14
"[FB] Joskin - wyprzedaż",2025-05-14,,164,190,,,,9.38,2025-05-14,2025-05-14
"[FB] ASM Vaderstad finansowanie",2025-05-14,1,218,272,"Kontakty w Meta",1,16.04,16.04,2025-05-14,2025-05-14
"[FB] ASM - Ciągniki 7R - formularz",2025-05-14,3,199,242,,,,7.61,2025-05-14,2025-05-14
"[FB]  ASM - Ciągniki – 6195M",2025-05-14,1,345,434,,,,8.47,2025-05-14,2025-05-14
"[FB]  ASM - Kramer",2025-05-14,11,2359,2769,,,,25.39,2025-05-14,2025-05-14
"[FB] ASM Kampania Serwis Oddziały",2025-05-14,5,2833,2950,Zasięg,2833,2.75679492,7.81,2025-05-14,2025-05-14
"[FB] Remarketing",2025-05-14,3,509,653,,,,6.26,2025-05-14,2025-05-14
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-05-14,,739,944,,,,21.72,2025-05-14,2025-05-14
"[FB] Rolnictwo precyzyjne",2025-05-14,3,508,609,,,,12.65,2025-05-14,2025-05-14
"[FB] ASM - Ciągniki 6155M",2025-05-14,1,806,850,,,,10.71,2025-05-14,2025-05-14
"[FB] Kramer - ruch www",2025-05-14,7,558,596,"Wyświetlenia strony docelowej",7,0.61571429,4.31,2025-05-14,2025-05-14
"[FB] Serwis - połączenia",2025-05-14,2,433,493,"Szacunkowa liczba kliknięć potwierdzających połączenie",2,2.17,4.34,2025-05-14,2025-05-14
"[FB] Monosem - ruch www",2025-05-14,4,546,564,"Wyświetlenia strony docelowej",3,1.34666667,4.04,2025-05-14,2025-05-14
"[FB] Ciągniki Seria 6M - ruch www",2025-05-14,7,489,511,"Wyświetlenia strony docelowej",3,0.87666667,2.63,2025-05-14,2025-05-14
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-05-14,4,200,209,"Wyświetlenia strony docelowej",4,0.585,2.34,2025-05-14,2025-05-14
"[FB] Ciągniki - Ostatnie Sztuki",2025-05-14,2,625,738,,,,10.98,2025-05-14,2025-05-14
"[FB] Kosiarki - sezon 2025",2025-05-14,11,423,480,,,,7.86,2025-05-14,2025-05-14
"[FB] ASM - Opryskiwacze",2025-05-14,2,320,358,,,,8,2025-05-14,2025-05-14
"[FB] SaMASZ - konwersje www",2025-05-14,4,530,647,,,,5.83,2025-05-14,2025-05-14
"[FB] Esklep - części ogólna",2025-05-14,35,5788,6354,,,,25.9,2025-05-14,2025-05-14
"[FB] Kverneland - ruch www",2025-05-14,1,262,283,,,,2.06,2025-05-14,2025-05-14
"[FB] Stehr - formularz",2025-05-14,,143,160,,,,6.04,2025-05-14,2025-05-14
"[FB] Stehr demo - formularz",2025-05-14,1,210,224,,,,7.56,2025-05-14,2025-05-14
"[FB] Nowe Ciągniki Seria 6R - formularz",2025-05-14,,129,205,,,,14.79,2025-05-14,2025-05-14
"[FB] Agro-masz - ruch www",2025-05-14,18,1866,1872,"Wyświetlenia strony docelowej",13,0.83461538,10.85,2025-05-14,2025-05-14
"[FB] Ciągniki Nowa Seria 6M - formularz",2025-05-14,2,471,551,"Kontakty w Meta",1,20.07,20.07,2025-05-14,2025-05-14
"[FB] Vaderstad - uprawowe - konwersje www",2025-05-14,1,465,578,,,,6.99,2025-05-14,2025-05-14
"[FB] Ciągniki 6M250 - ruch www",2025-05-14,,119,124,,,,1.04,2025-05-14,2025-05-14
"[FB] Ciągniki 8RX - ruch www",2025-05-14,10,1991,2031,"Wyświetlenia strony docelowej",8,1.3825,11.06,2025-05-14,2025-05-14
"[FB] Ciągniki 9RX - ruch www",2025-05-14,9,821,855,"Wyświetlenia strony docelowej",7,0.77285714,5.41,2025-05-14,2025-05-14
"[FB] Oddziały - zasięg",2025-05-14,,2734,2734,Zasięg,2734,3.00292612,8.21,2025-05-14,2025-05-14
"[FB] Vaderstad - uprawowe - ruch www",2025-05-14,6,542,576,"Wyświetlenia strony docelowej",3,1.32,3.96,2025-05-14,2025-05-14
"[FB] Ciągniki - Seria 5 - ruch www",2025-05-14,13,1326,1402,"Wyświetlenia strony docelowej",10,0.774,7.74,2025-05-14,2025-05-14
"[FB] Ciągniki Seria 6R - ruch www",2025-05-14,10,614,645,"Wyświetlenia strony docelowej",7,0.90428571,6.33,2025-05-14,2025-05-14
"[FB] Vaderstad - siew - ruch www",2025-05-14,2,452,509,"Wyświetlenia strony docelowej",2,1.8,3.6,2025-05-14,2025-05-14
"[FB] Serwis - ruch www",2025-05-13,1,675,848,,,,5.03,2025-05-13,2025-05-13
"[FB] Ciągniki 8RX - formularz",2025-05-13,,127,299,,,,31.75,2025-05-13,2025-05-13
"[FB] Skontakuj się z nami - messenger",2025-05-13,12,789,955,,,,5.22,2025-05-13,2025-05-13
"[FB] Ciągniki - Używane jak nowe - YU",2025-05-13,15,1309,1630,,,,32.76,2025-05-13,2025-05-13
"[FB] Serwis - kontakty",2025-05-13,1,553,712,"Kontakty w Meta",1,15.84,15.84,2025-05-13,2025-05-13
"[FB] Ciągniki Ogólne - ruch www",2025-05-13,8,1362,1529,"Wyświetlenia strony docelowej",4,2.4825,9.93,2025-05-13,2025-05-13
"[FB] ASM - OSWN",2025-05-13,13,907,1193,"Wyświetlenia strony docelowej",6,1.67833333,10.07,2025-05-13,2025-05-13
"[FB] ASM Pagelike",2025-05-13,1,1309,1779,"Obserwatorzy lub polubienia na Facebooku",2,3.825,7.65,2025-05-13,2025-05-13
"[FB] Kverneland",2025-05-13,10,1634,2095,,,,39.84,2025-05-13,2025-05-13
"[FB] Serwis - połączenia",2025-05-13,7,1212,1500,,,,10.55,2025-05-13,2025-05-13
"[FB]  ASM - Kramer",2025-05-13,53,9461,13876,"Kontakty w Meta",2,62.03,124.06,2025-05-13,2025-05-13
"[FB] Ciągniki 7R - ruch www",2025-05-13,10,1193,1761,"Wyświetlenia zawartości witryny",2,8.025,16.05,2025-05-13,2025-05-13
"[FB] Ciągniki Seria 6M - formularz",2025-05-13,7,1601,2305,,,,59.22,2025-05-13,2025-05-13
"[FB] ASM Vaderstad finansowanie",2025-05-13,2,791,1059,,,,43.12,2025-05-13,2025-05-13
"[FB] ASM - Ciągniki 7R - formularz",2025-05-13,8,995,1770,,,,45.08,2025-05-13,2025-05-13
"[FB]  ASM - Ciągniki – 6195M",2025-05-13,6,1322,1950,,,,31.85,2025-05-13,2025-05-13
"[FB] Joskin - wyprzedaż",2025-05-13,2,737,1026,"Kontakty w Meta",1,48.58,48.58,2025-05-13,2025-05-13
"[FB] ASM Kampania Serwis Oddziały",2025-05-13,6,11628,12524,Zasięg,11628,2.95923633,34.41,2025-05-13,2025-05-13
"[FB] Remarketing",2025-05-13,11,1655,2828,"Szacunkowa liczba kliknięć potwierdzających połączenie",2,12.74,25.48,2025-05-13,2025-05-13
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-05-13,5,3045,4706,,,,82.53,2025-05-13,2025-05-13
"[FB] Rolnictwo precyzyjne",2025-05-13,3,1477,2086,,,,38.01,2025-05-13,2025-05-13
"[FB] ASM - Ciągniki 6155M",2025-05-13,8,2099,2769,,,,27.78,2025-05-13,2025-05-13
"[FB] Kramer - ruch www",2025-05-13,23,1860,2190,"Wyświetlenia strony docelowej",17,0.88764706,15.09,2025-05-13,2025-05-13
"[FB] Nowe Ciągniki Seria 6R - formularz",2025-05-13,1,563,1065,,,,66.47,2025-05-13,2025-05-13
"[FB] Monosem - ruch www",2025-05-13,13,2132,2391,"Wyświetlenia strony docelowej",13,1.14,14.82,2025-05-13,2025-05-13
"[FB] Stehr demo - formularz",2025-05-13,2,1448,1676,,,,44.59,2025-05-13,2025-05-13
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-05-13,14,734,877,"Wyświetlenia strony docelowej",10,0.993,9.93,2025-05-13,2025-05-13
"[FB] Agro-masz - ruch www",2025-05-13,43,4946,5752,"Wyświetlenia strony docelowej",31,1.03096774,31.96,2025-05-13,2025-05-13
"[FB] Ciągniki - Ostatnie Sztuki",2025-05-13,23,2681,3587,,,,34.86,2025-05-13,2025-05-13
"[FB] Kosiarki - sezon 2025",2025-05-13,28,1503,1810,,,,24.03,2025-05-13,2025-05-13
"[FB] ASM - Opryskiwacze",2025-05-13,5,1537,1759,,,,32.98,2025-05-13,2025-05-13
"[FB] SaMASZ - konwersje www",2025-05-13,14,2704,3340,,,,25.94,2025-05-13,2025-05-13
"[FB] Esklep - części ogólna",2025-05-13,87,17329,21189,,,,87.02,2025-05-13,2025-05-13
"[FB] Kverneland - ruch www",2025-05-13,16,656,896,"Wyświetlenia strony docelowej",11,0.53818182,5.92,2025-05-13,2025-05-13
"[FB] Stehr - formularz",2025-05-13,6,1539,1797,,,,37.02,2025-05-13,2025-05-13
"[FB] Części",2025-05-13,3,1514,1856,"Szacunkowa liczba kliknięć potwierdzających połączenie",1,15.28,15.28,2025-05-13,2025-05-13
"[FB] Ciągniki Seria 6M - ruch www",2025-05-13,29,1654,1833,"Wyświetlenia strony docelowej",19,0.51157895,9.72,2025-05-13,2025-05-13
"[FB] Vaderstad - uprawowe - konwersje www",2025-05-13,6,1388,2023,,,,23.91,2025-05-13,2025-05-13
"[FB] Oddziały - zasięg",2025-05-13,,12170,12526,Zasięg,12170,3.16105177,38.47,2025-05-13,2025-05-13
"[FB] Ciągniki 8RX - ruch www",2025-05-13,31,5568,6511,"Wyświetlenia strony docelowej",24,1.37291667,32.95,2025-05-13,2025-05-13
"[FB] Ciągniki 9RX - ruch www",2025-05-13,46,2474,3047,"Wyświetlenia strony docelowej",37,0.49945946,18.48,2025-05-13,2025-05-13
"[FB] Ciągniki 6M250 - ruch www",2025-05-13,8,822,842,"Wyświetlenia strony docelowej",6,0.88333333,5.3,2025-05-13,2025-05-13
"[FB] Vaderstad - uprawowe - ruch www",2025-05-13,41,2082,2476,"Wyświetlenia strony docelowej",40,0.36825,14.73,2025-05-13,2025-05-13
"[FB] Ciągniki - Seria 5 - ruch www",2025-05-13,51,4136,4510,"Wyświetlenia strony docelowej",41,0.62121951,25.47,2025-05-13,2025-05-13
"[FB] Ciągniki Seria 6R - ruch www",2025-05-13,43,1850,2396,"Wyświetlenia strony docelowej",27,0.81851852,22.1,2025-05-13,2025-05-13
"[FB] Vaderstad - siew - ruch www",2025-05-13,21,2009,2460,"Wyświetlenia strony docelowej",19,0.80947368,15.38,2025-05-13,2025-05-13
"[FB] Ciągniki Nowa Seria 6M - formularz",2025-05-13,13,1725,2335,,,,63.43,2025-05-13,2025-05-13
"[FB] Serwis - ruch www",2025-05-12,4,783,1003,"Wyświetlenia strony docelowej",4,1.2875,5.15,2025-05-12,2025-05-12
"[FB] Ciągniki 8RX - formularz",2025-05-12,,118,389,,,,41.46,2025-05-12,2025-05-12
"[FB] Skontakuj się z nami - messenger",2025-05-12,22,746,943,,,,5.47,2025-05-12,2025-05-12
"[FB] Ciągniki - Używane jak nowe - YU",2025-05-12,11,1089,1317,,,,27.71,2025-05-12,2025-05-12
"[FB] Serwis - kontakty",2025-05-12,1,565,749,,,,16.36,2025-05-12,2025-05-12
"[FB] Ciągniki Ogólne - ruch www",2025-05-12,25,1444,1565,"Wyświetlenia strony docelowej",16,0.616875,9.87,2025-05-12,2025-05-12
"[FB] ASM - OSWN",2025-05-12,19,858,1187,"Wyświetlenia strony docelowej",10,0.999,9.99,2025-05-12,2025-05-12
"[FB] ASM Pagelike",2025-05-12,4,1478,2026,"Obserwatorzy lub polubienia na Facebooku",5,1.512,7.56,2025-05-12,2025-05-12
"[FB] Kverneland",2025-05-12,12,1749,2207,,,,42.35,2025-05-12,2025-05-12
"[FB] Serwis - połączenia",2025-05-12,7,839,1114,,,,8.44,2025-05-12,2025-05-12
"[FB]  ASM - Kramer",2025-05-12,33,12129,16301,"Kontakty w Meta",1,128.8,128.8,2025-05-12,2025-05-12
"[FB] Ciągniki 7R - ruch www",2025-05-12,6,1551,2237,"Wyświetlenia zawartości witryny",1,17.76,17.76,2025-05-12,2025-05-12
"[FB] Ciągniki Seria 6M - formularz",2025-05-12,6,1807,2610,"Kontakty w Meta",1,63.47,63.47,2025-05-12,2025-05-12
"[FB] ASM Vaderstad finansowanie",2025-05-12,5,873,1314,"Kontakty w Meta",1,45.78,45.78,2025-05-12,2025-05-12
"[FB] ASM - Ciągniki 7R - formularz",2025-05-12,10,1657,2470,,,,57.1,2025-05-12,2025-05-12
"[FB]  ASM - Ciągniki – 6195M",2025-05-12,4,1295,1943,,,,25.79,2025-05-12,2025-05-12
"[FB] Joskin - wyprzedaż",2025-05-12,4,1136,1590,,,,47.64,2025-05-12,2025-05-12
"[FB] ASM Kampania Serwis Oddziały",2025-05-12,15,11147,12286,Zasięg,11147,3.0429712,33.92,2025-05-12,2025-05-12
"[FB] Remarketing",2025-05-12,17,1980,3219,"Szacunkowa liczba kliknięć potwierdzających połączenie",1,23.93,23.93,2025-05-12,2025-05-12
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-05-12,12,2827,4548,,,,82.29,2025-05-12,2025-05-12
"[FB] Rolnictwo precyzyjne",2025-05-12,5,1524,2039,,,,40.37,2025-05-12,2025-05-12
"[FB] ASM - Ciągniki 6155M",2025-05-12,12,2299,3034,,,,29.91,2025-05-12,2025-05-12
"[FB] Kramer - ruch www",2025-05-12,15,1716,1997,"Wyświetlenia strony docelowej",9,1.58444444,14.26,2025-05-12,2025-05-12
"[FB] Ciągniki Seria 6M - ruch www",2025-05-12,30,1722,1924,"Wyświetlenia strony docelowej",16,0.6225,9.96,2025-05-12,2025-05-12
"[FB] Monosem - ruch www",2025-05-12,17,2264,2523,"Wyświetlenia strony docelowej",13,1.19692308,15.56,2025-05-12,2025-05-12
"[FB] Nowe Ciągniki Seria 6R - formularz",2025-05-12,2,672,1193,,,,62.63,2025-05-12,2025-05-12
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-05-12,9,826,987,"Wyświetlenia strony docelowej",6,1.705,10.23,2025-05-12,2025-05-12
"[FB] Agro-masz - ruch www",2025-05-12,49,4434,5577,"Wyświetlenia strony docelowej",24,1.36125,32.67,2025-05-12,2025-05-12
"[FB] Ciągniki - Ostatnie Sztuki",2025-05-12,15,2418,3298,,,,40.73,2025-05-12,2025-05-12
"[FB] Kosiarki - sezon 2025",2025-05-12,62,2571,3457,,,,36.28,2025-05-12,2025-05-12
"[FB] ASM - Opryskiwacze",2025-05-12,5,1245,1526,,,,27.75,2025-05-12,2025-05-12
"[FB] SaMASZ - konwersje www",2025-05-12,21,5124,6513,generate_lead,4,11.2375,44.95,2025-05-12,2025-05-12
"[FB] Esklep - części ogólna",2025-05-12,61,14761,18722,"Zakupy w witrynie",1,79.75,79.75,2025-05-12,2025-05-12
"[FB] Kverneland - ruch www",2025-05-12,9,687,913,"Wyświetlenia strony docelowej",6,1.005,6.03,2025-05-12,2025-05-12
"[FB] Stehr - formularz",2025-05-12,8,1956,2290,,,,44.45,2025-05-12,2025-05-12
"[FB] Stehr demo - formularz",2025-05-12,5,1152,1442,,,,44.67,2025-05-12,2025-05-12
"[FB] Części",2025-05-12,3,1251,1552,,,,11.25,2025-05-12,2025-05-12
"[FB] Oddziały - zasięg",2025-05-12,,11819,12948,Zasięg,11819,3.33953803,39.47,2025-05-12,2025-05-12
"[FB] Vaderstad - siew - ruch www",2025-05-12,18,2068,2493,"Wyświetlenia strony docelowej",12,1.22583333,14.71,2025-05-12,2025-05-12
"[FB] Ciągniki Seria 6R - ruch www",2025-05-12,44,1457,1980,"Wyświetlenia strony docelowej",31,0.80419355,24.93,2025-05-12,2025-05-12
"[FB] Ciągniki - Seria 5 - ruch www",2025-05-12,30,3710,4022,"Wyświetlenia strony docelowej",19,1.31526316,24.99,2025-05-12,2025-05-12
"[FB] Vaderstad - uprawowe - ruch www",2025-05-12,13,2363,2757,"Wyświetlenia strony docelowej",12,1.23416667,14.81,2025-05-12,2025-05-12
"[FB] Vaderstad - uprawowe - konwersje www",2025-05-12,13,1661,2474,,,,26.75,2025-05-12,2025-05-12
"[FB] Ciągniki 9RX - ruch www",2025-05-12,37,2573,3335,"Wyświetlenia strony docelowej",33,0.56606061,18.68,2025-05-12,2025-05-12
"[FB] Ciągniki 8RX - ruch www",2025-05-12,27,6004,7097,"Wyświetlenia strony docelowej",22,1.52863636,33.63,2025-05-12,2025-05-12
"[FB] Ciągniki 6M250 - ruch www",2025-05-12,9,1008,1099,"Wyświetlenia strony docelowej",4,1.315,5.26,2025-05-12,2025-05-12
"[FB] Ciągniki Nowa Seria 6M - formularz",2025-05-12,11,1962,2921,,,,65.83,2025-05-12,2025-05-12
"[FB] Serwis - kontakty",2025-05-11,1,662,879,,,,16.83,2025-05-11,2025-05-11
"[FB] ASM Pagelike",2025-05-11,2,1384,2046,"Obserwatorzy lub polubienia na Facebooku",2,4.28,8.56,2025-05-11,2025-05-11
"[FB] ASM - OSWN",2025-05-11,13,1034,1468,"Wyświetlenia strony docelowej",12,0.9425,11.31,2025-05-11,2025-05-11
"[FB] Ciągniki Ogólne - ruch www",2025-05-11,21,1351,1450,"Wyświetlenia strony docelowej",11,1.03818182,11.42,2025-05-11,2025-05-11
"[FB] ASM - Ciągniki 6155M",2025-05-11,11,2099,2819,"Kontakty w Meta",1,31.42,31.42,2025-05-11,2025-05-11
"[FB] Ciągniki - Używane jak nowe - YU",2025-05-11,8,1501,1970,,,,33.03,2025-05-11,2025-05-11
"[FB] Skontakuj się z nami - messenger",2025-05-11,8,560,696,,,,4.24,2025-05-11,2025-05-11
"[FB] Ciągniki 8RX - formularz",2025-05-11,,191,414,,,,36.98,2025-05-11,2025-05-11
"[FB] Kramer - ruch www",2025-05-11,21,1716,2097,"Wyświetlenia strony docelowej",14,1.25,17.5,2025-05-11,2025-05-11
"[FB] Serwis - połączenia",2025-05-11,5,943,1222,,,,9.27,2025-05-11,2025-05-11
"[FB] Kverneland",2025-05-11,9,1716,2280,,,,45.58,2025-05-11,2025-05-11
"[FB]  ASM - Ciągniki – 6195M",2025-05-11,9,1414,2204,,,,32.31,2025-05-11,2025-05-11
"[FB] Serwis - ruch www",2025-05-11,3,733,950,"Wyświetlenia strony docelowej",3,1.74666667,5.24,2025-05-11,2025-05-11
"[FB] Ciągniki 7R - ruch www",2025-05-11,7,1770,2935,"Wyświetlenia zawartości witryny",1,22.96,22.96,2025-05-11,2025-05-11
"[FB] Ciągniki Seria 6M - formularz",2025-05-11,7,1646,2525,,,,68.35,2025-05-11,2025-05-11
"[FB] ASM Vaderstad finansowanie",2025-05-11,4,1085,1607,,,,57.17,2025-05-11,2025-05-11
"[FB] ASM - Ciągniki 7R - formularz",2025-05-11,6,1357,2073,,,,52.31,2025-05-11,2025-05-11
"[FB]  ASM - Kramer",2025-05-11,53,12363,18587,"Kontakty w Meta",3,48.54,145.62,2025-05-11,2025-05-11
"[FB] ASM Kampania Serwis Oddziały",2025-05-11,18,12838,13666,Zasięg,12838,3.06434024,39.34,2025-05-11,2025-05-11
"[FB] Remarketing",2025-05-11,13,2068,3403,"Szacunkowa liczba kliknięć potwierdzających połączenie",1,26.01,26.01,2025-05-11,2025-05-11
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-05-11,15,3145,5330,,,,91.5,2025-05-11,2025-05-11
"[FB] Rolnictwo precyzyjne",2025-05-11,5,1531,2308,,,,43.61,2025-05-11,2025-05-11
"[FB] Joskin - wyprzedaż",2025-05-11,4,1240,1841,,,,45.97,2025-05-11,2025-05-11
"[FB] Monosem - ruch www",2025-05-11,22,2298,2602,"Wyświetlenia strony docelowej",20,0.864,17.28,2025-05-11,2025-05-11
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-05-11,13,969,1169,"Wyświetlenia strony docelowej",8,1.48375,11.87,2025-05-11,2025-05-11
"[FB] Stehr demo - formularz",2025-05-11,8,1440,1798,,,,52.48,2025-05-11,2025-05-11
"[FB] Oddziały - zasięg",2025-05-11,,13672,14235,Zasięg,13672,3.2284962,44.14,2025-05-11,2025-05-11
"[FB] Części",2025-05-11,11,1187,1480,"Szacunkowa liczba kliknięć potwierdzających połączenie",1,12.2,12.2,2025-05-11,2025-05-11
"[FB] Agro-masz - ruch www",2025-05-11,49,4674,6220,"Wyświetlenia strony docelowej",37,0.95189189,35.22,2025-05-11,2025-05-11
"[FB] Ciągniki - Ostatnie Sztuki",2025-05-11,12,1140,1689,,,,34.87,2025-05-11,2025-05-11
"[FB] Kosiarki - sezon 2025",2025-05-11,18,1982,2661,,,,30.74,2025-05-11,2025-05-11
"[FB] ASM - Opryskiwacze",2025-05-11,9,1552,1886,,,,32.59,2025-05-11,2025-05-11
"[FB] Esklep - części ogólna",2025-05-11,83,16168,21634,,,,96.33,2025-05-11,2025-05-11
"[FB] Kverneland - ruch www",2025-05-11,7,786,1041,"Wyświetlenia strony docelowej",6,1.1,6.6,2025-05-11,2025-05-11
"[FB] Stehr - formularz",2025-05-11,5,2093,2614,,,,54.91,2025-05-11,2025-05-11
"[FB] SaMASZ - konwersje www",2025-05-11,14,2110,2907,,,,35.21,2025-05-11,2025-05-11
"[FB] Nowe Ciągniki Seria 6R - formularz",2025-05-11,3,1124,1791,,,,72.49,2025-05-11,2025-05-11
"[FB] Vaderstad - uprawowe - ruch www",2025-05-11,34,2441,2976,"Wyświetlenia strony docelowej",33,0.51939394,17.14,2025-05-11,2025-05-11
"[FB] Ciągniki Seria 6M - ruch www",2025-05-11,45,1953,2257,"Wyświetlenia strony docelowej",33,0.34090909,11.25,2025-05-11,2025-05-11
"[FB] Ciągniki 8RX - ruch www",2025-05-11,27,6213,8554,"Wyświetlenia strony docelowej",20,1.845,36.9,2025-05-11,2025-05-11
"[FB] Ciągniki 9RX - ruch www",2025-05-11,33,3028,3816,"Wyświetlenia strony docelowej",24,0.87,20.88,2025-05-11,2025-05-11
"[FB] Vaderstad - uprawowe - konwersje www",2025-05-11,9,1351,1681,,,,28.9,2025-05-11,2025-05-11
"[FB] Ciągniki 6M250 - ruch www",2025-05-11,3,923,1014,"Wyświetlenia strony docelowej",2,2.725,5.45,2025-05-11,2025-05-11
"[FB] Ciągniki - Seria 5 - ruch www",2025-05-11,56,4135,4744,"Wyświetlenia strony docelowej",40,0.6745,26.98,2025-05-11,2025-05-11
"[FB] Ciągniki Seria 6R - ruch www",2025-05-11,55,1709,2204,"Wyświetlenia strony docelowej",37,0.79567568,29.44,2025-05-11,2025-05-11
"[FB] Vaderstad - siew - ruch www",2025-05-11,24,2357,2951,"Wyświetlenia strony docelowej",23,0.71130435,16.36,2025-05-11,2025-05-11
"[FB] Ciągniki Nowa Seria 6M - formularz",2025-05-11,11,1941,3094,,,,78.28,2025-05-11,2025-05-11
"[FB] Serwis - ruch www",2025-05-10,2,711,948,,,,5.33,2025-05-10,2025-05-10
"[FB] Kramer - ruch www",2025-05-10,17,1539,1850,"Wyświetlenia strony docelowej",8,1.84875,14.79,2025-05-10,2025-05-10
"[FB] Ciągniki 8RX - formularz",2025-05-10,,66,129,,,,13.71,2025-05-10,2025-05-10
"[FB] Skontakuj się z nami - messenger",2025-05-10,13,681,815,,,,5.01,2025-05-10,2025-05-10
"[FB] Ciągniki - Używane jak nowe - YU",2025-05-10,23,1196,1504,"Kontakty w Meta",3,9.60666667,28.82,2025-05-10,2025-05-10
"[FB] Serwis - kontakty",2025-05-10,2,540,720,,,,12.73,2025-05-10,2025-05-10
"[FB] Ciągniki Ogólne - ruch www",2025-05-10,12,1271,1440,"Wyświetlenia strony docelowej",8,1.28125,10.25,2025-05-10,2025-05-10
"[FB] ASM - OSWN",2025-05-10,16,855,1138,"Wyświetlenia strony docelowej",10,0.99,9.9,2025-05-10,2025-05-10
"[FB] ASM Pagelike",2025-05-10,3,1211,1713,"Obserwatorzy lub polubienia na Facebooku",4,2.0175,8.07,2025-05-10,2025-05-10
"[FB] Kverneland",2025-05-10,6,1677,2129,,,,37.75,2025-05-10,2025-05-10
"[FB] Serwis - połączenia",2025-05-10,5,998,1227,"Szacunkowa liczba kliknięć potwierdzających połączenie",1,9.13,9.13,2025-05-10,2025-05-10
"[FB] Monosem - ruch www",2025-05-10,11,2030,2214,"Wyświetlenia strony docelowej",8,1.73375,13.87,2025-05-10,2025-05-10
"[FB] Ciągniki 7R - ruch www",2025-05-10,12,1518,2334,"Wyświetlenia zawartości witryny",1,19.78,19.78,2025-05-10,2025-05-10
"[FB] Ciągniki Seria 6M - formularz",2025-05-10,11,1378,2064,,,,52.56,2025-05-10,2025-05-10
"[FB] ASM Vaderstad finansowanie",2025-05-10,2,623,971,,,,35.19,2025-05-10,2025-05-10
"[FB] ASM - Ciągniki 7R - formularz",2025-05-10,1,727,1136,,,,42.42,2025-05-10,2025-05-10
"[FB]  ASM - Ciągniki – 6195M",2025-05-10,5,1093,1699,,,,26.15,2025-05-10,2025-05-10
"[FB]  ASM - Kramer",2025-05-10,33,9506,13997,"Kontakty w Meta",3,39.66666667,119,2025-05-10,2025-05-10
"[FB] ASM Kampania Serwis Oddziały",2025-05-10,18,12000,12875,Zasięg,12000,3.37083333,40.45,2025-05-10,2025-05-10
"[FB] Remarketing",2025-05-10,10,1988,3049,,,,23.6,2025-05-10,2025-05-10
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-05-10,6,2481,4333,,,,83.17,2025-05-10,2025-05-10
"[FB] Rolnictwo precyzyjne",2025-05-10,6,1096,1639,"Kontakty w Meta",1,38.48,38.48,2025-05-10,2025-05-10
"[FB] ASM - Ciągniki 6155M",2025-05-10,12,1791,2440,,,,27.6,2025-05-10,2025-05-10
"[FB] Joskin - wyprzedaż",2025-05-10,5,1044,1425,,,,32.44,2025-05-10,2025-05-10
"[FB] Ciągniki Nowa Seria 6M - formularz",2025-05-10,12,1820,2600,,,,62.11,2025-05-10,2025-05-10
"[FB] ASM - kalkulator próbek/rolnictwo precyzyjne - ruch www",2025-05-10,11,798,965,"Wyświetlenia strony docelowej",8,1.21,9.68,2025-05-10,2025-05-10
"[FB] Nowe Ciągniki Seria 6R - formularz",2025-05-10,2,569,966,,,,53.69,2025-05-10,2025-05-10
"[FB] Oddziały - zasięg",2025-05-10,,13437,13849,Zasięg,13437,3.31919327,44.6,2025-05-10,2025-05-10
